url,Perfume,Brand,Country,Gender,Rating Value,Rating Count,Year,Top,Middle,Base,Perfumer1,Perfumer2,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
https://www.fragrantica.com/perfume/gucci/gucci-guilty-absolute-43040.html,gucci-guilty-absolute,gucci,Italy,men,"4,1",5478,2017.0,leather,"cypress, patchouli","woody notes, vetiver",alberto morillas,,woody,leather,aromatic,animalic,earthy
https://www.fragrantica.com/perfume/gucci/gucci-guilty-eau-de-toilette-65553.html,gucci-guilty-eau-de-toilette,gucci,Italy,women,"4,1",525,2021.0,"pink pepper, mandarin orange","lilac, peach, jasmine, raspberry, geranium, black currant","white musk, amber, patchouli, vanilla",unknown,,floral,fruity,musky,sweet,soft spicy
https://www.fragrantica.com/perfume/jo-malone-london/velvet-rose-oud-cologne-intense-71509.html,velvet-rose-oud-cologne-intense,jo-malone-london,UK,unisex,"4,1",42,2022.0,cloves,damask rose,"agarwood (oud), nougat",unknown,,rose,oud,sweet,warm spicy,floral
https://www.fragrantica.com/perfume/jo-malone-london/nasturtium-clover-35880.html,nasturtium-clover,jo-malone-london,UK,unisex,"4,1",165,2016.0,"clover, bergamot, lemon","nasturtium, wild orchid, jasmine","vetiver, amberwood, white musk",anne flipo,,floral,green,sweet,citrus,woody
https://www.fragrantica.com/perfume/tom-ford/black-orchid-eau-de-toilette-2023-81006.html,black-orchid-eau-de-toilette-2023,tom-ford,USA,women,"4,1",210,2023.0,"patchouli, plum","orchid, clove, tuberose, pepper",patchouli,unknown,,warm spicy,patchouli,fruity,sweet,woody
https://www.fragrantica.com/perfume/tom-ford/vanille-fatale-2024-88659.html,vanille-fatale-2024,tom-ford,USA,unisex,"4,1",248,2024.0,"coriander, saffron","coffee, barley, frangipani, narcissus","madagascar vanilla, suede, tobacco, mahogany",unknown,,vanilla,tobacco,coffee,warm spicy,sweet
https://www.fragrantica.com/perfume/tom-ford/sole-di-positano-44106.html,sole-di-positano,tom-ford,USA,unisex,"4,1",602,2017.0,"bitter orange, mandarin orange, calabrian bergamot, petitgrain, lemon","neroli, orange blossom, jasmine, shiso, ylang-ylang, lily-of-the-valley",moss,unknown,,citrus,white floral,aromatic,green,fresh
https://www.fragrantica.com/perfume/versace/blonde-1412.html,blonde,versace,Italy,women,"4,1",1041,1995.0,"gardenia, violet, pitosporum, neroli, bergamot","tuberose, ylang-ylang, narcissus, carnation","civet, benzoin, musk",nathalie feisthauer,,white floral,tuberose,animalic,yellow floral,musky
https://www.fragrantica.com/perfume/yves-saint-laurent/cinema-92.html,cinema,yves-saint-laurent,France,women,"4,1",10251,2004.0,"almond blossom, clementine, cyclamen","jasmine, peony, amaryllis","vanilla, amber, benzoin, white musk",jacques cavallier,,floral,vanilla,amber,sweet,citrus
https://www.fragrantica.com/perfume/yves-saint-laurent/la-collection-nu-13732.html,la-collection-nu,yves-saint-laurent,France,women,"4,1",582,2011.0,"cardamom, bergamot","incense, orchid",olibanum,unknown,,amber,warm spicy,smoky,aromatic,fresh spicy
https://www.fragrantica.com/perfume/yves-saint-laurent/rouge-velours-68213.html,rouge-velours,yves-saint-laurent,France,unisex,"4,1",293,2021.0,"white tea, pink pepper","rose, jasmine, iris","patchouli, vetiver, musk",unknown,,rose,patchouli,woody,earthy,white floral
https://www.fragrantica.com/perfume/chanel/chance-eau-fraiche-eau-de-parfum-83980.html,chance-eau-fraiche-eau-de-parfum,chanel,France,women,"4,11",752,2023.0,"citron, aldehydes",jasmine,"teak wood, amber",olivier polge,,citrus,aldehydic,woody,fresh,white floral
https://www.fragrantica.com/perfume/chanel/cristalle-eau-de-toilette-12.html,cristalle-eau-de-toilette,chanel,France,women,"4,11",3951,1974.0,"sicilian lemon, bergamot","hiacynth, brazilian rosewood, honeysuckle, jasmine","oakmoss, vetiver",henri robert,,citrus,earthy,woody,mossy,aromatic
https://www.fragrantica.com/perfume/chanel/gardenia-936.html,gardenia,chanel,France,women,"4,11",1852,1925.0,"orange blossom, green notes","gardenia, tuberose, jasmine, fruity notes","coconut, musk, vanilla, sandalwood, vetiver, patchouli",ernest beaux,,white floral,green,tuberose,animalic,sweet
https://www.fragrantica.com/perfume/chanel/boy-eau-de-parfum-37473.html,boy-eau-de-parfum,chanel,France,unisex,"4,11",1301,2016.0,"lavender, grapefruit, lemon","geranium, orange blossom, rose","white musk, heliotrope, sandalwood, vanilla, moss, coumarin",olivier polge,,aromatic,powdery,fresh spicy,vanilla,lavender
https://www.fragrantica.com/perfume/chanel/cuir-de-russie-eau-de-parfum-41786.html,cuir-de-russie-eau-de-parfum,chanel,France,women,"4,11",739,2016.0,"orange blossom, mandarin orange, bergamot","ylang-ylang, jasmine, tobacco, rose","leather, birch, resins",unknown,,leather,smoky,white floral,woody,sweet
https://www.fragrantica.com/perfume/chanel/le-lion-eau-de-parfum-61036.html,le-lion-eau-de-parfum,chanel,France,unisex,"4,11",1912,2020.0,"bergamot, lemon","labdanum, amber","patchouli, madagascar vanilla, musk, sandalwood",olivier polge,,amber,woody,musky,powdery,citrus
https://www.fragrantica.com/perfume/dior/dior-addict-215.html,dior-addict,dior,France,women,"4,11",14456,2002.0,"blackberry, mandarin leaf, silk tree blossom","jasmine, orange blossom, night blooming cereus, rose","vanilla, tonka bean, mysore sandalwood",christian dussoulier,thierry wasser,vanilla,white floral,sweet,fruity,amber
https://www.fragrantica.com/perfume/dior/eau-noire-1378.html,eau-noire,dior,France,unisex,"4,11",1046,2004.0,"thyme, sage","lavender, coffee, immortelle, virginia cedar, saffron","licorice, vanilla, violet, leather, stems greens",francis kurkdjian,,aromatic,soft spicy,lavender,coffee,herbal
https://www.fragrantica.com/perfume/dior/les-creations-de-monsieur-dior-diorama-10408.html,les-creations-de-monsieur-dior-diorama,dior,France,women,"4,11",303,2010.0,"ylang-ylang, bergamot","jasmine, peach, caraway, plum, rose","patchouli, virginia cedar",unknown,,fruity,white floral,woody,sweet,fresh spicy
https://www.fragrantica.com/perfume/dior/patchouli-imperial-48381.html,patchouli-imperial,dior,France,unisex,"4,11",255,2018.0,"bergamot, mandarin orange","coriander, rose, cinnamon","patchouli, amber, benzoin, smoke, cedar, tonka bean, sandalwood, vanilla",françois demachy,,woody,amber,warm spicy,patchouli,vanilla
https://www.fragrantica.com/perfume/dior/the-cachemire-48371.html,the-cachemire,dior,France,unisex,"4,11",429,2018.0,"petitgrain, bergamot, lemon, bitter orange","white tea, hedione, honeysuckle, magnolia, black currant, rose","mate, musk, iso e super, smoke, orris",françois demachy,,citrus,green,aromatic,fresh,musky
https://www.fragrantica.com/perfume/gucci/envy-97.html,envy,gucci,Italy,women,"4,11",3656,1997.0,"bergamot, freesia, pineapple, magnolia, peach","lily-of-the-valley, hiacynth, jasmine, iris, violet, rose","oakmoss, jasmine, cedar, musk, sandalwood",maurice roucel,,floral,white floral,green,fresh,woody
https://www.fragrantica.com/perfume/gucci/gucci-guilty-intense-13201.html,gucci-guilty-intense,gucci,Italy,women,"4,11",2753,2011.0,"pink pepper, mandarin orange","lilac, violet, heliotrope","amber, patchouli",aure?lien guichard,,floral,powdery,soft spicy,amber,fresh
https://www.fragrantica.com/perfume/jo-malone-london/bitter-mandarin-72614.html,bitter-mandarin,jo-malone-london,UK,unisex,"4,11",104,2022.0,"mandarin orange, bergamot, petitgrain",orange,"amber, iris",michel almairac,,citrus,fresh spicy,,,
https://www.fragrantica.com/perfume/jo-malone-london/ginger-beer-cologne-90252.html,ginger-beer-cologne,jo-malone-london,UK,unisex,"4,11",66,2024.0,"ginger, citron","cinnamon, amyris","oak, vetiver, white musk",unknown,,woody,warm spicy,aromatic,cinnamon,earthy
https://www.fragrantica.com/perfume/jo-malone-london/wild-strawberry-parsley-35879.html,wild-strawberry-parsley,jo-malone-london,UK,unisex,"4,11",184,2016.0,"green notes, parsley, tomato leaf, black currant","wild strawberry, violet leaf, basil","white musk, oakmoss",anne flipo,,green,aromatic,fruity,fresh spicy,sweet
https://www.fragrantica.com/perfume/tom-ford/black-orchid-eau-de-toilette-31969.html,black-orchid-eau-de-toilette,tom-ford,USA,women,"4,11",1164,2015.0,"truffle, ylang-ylang, black currant, bergamot","black orchid, tuberose, fruity notes","patchouli, incense, sandalwood, vanilla, vetiver, lotus",unknown,,woody,earthy,floral,sweet,fruity
https://www.fragrantica.com/perfume/tom-ford/vanille-fatale-48029.html,vanille-fatale,tom-ford,USA,unisex,"4,11",2620,2017.0,"rum, myrrh, olibanum, saffron, coriander, orange, lime","barley, coffee, plum, frangipani, narcissus, artemisia, rose","madagascar vanilla, suede, tobacco, mahogany, patchouli, oakmoss, violet",yann vasnier,,vanilla,warm spicy,sweet,amber,woody
